stat_template,modifier_names,glove_classes,pool_types,seen_as_before_input,seen_as_after_output,has_mapping_family,confirmed_family,likely_family,isolated_sample_count,likely_sample_count,sample_ids,coverage_status
Break #% increased Armour,CorruptionArmourBreak1,"dex, dex_int, int, str, str_dex, str_int",corrupted_enchantment,False,False,False,False,False,0,0,,corruption_only_missing
Damage Penetrates #% Cold Resistance,CorruptionColdPenetration1,"dex, dex_int, int, str, str_dex, str_int",corrupted_enchantment,False,False,False,False,False,0,0,,corruption_only_missing
Damage Penetrates #% Fire Resistance,CorruptionFirePenetration1,"dex, dex_int, int, str, str_dex, str_int",corrupted_enchantment,False,False,False,False,False,0,0,,corruption_only_missing
+# to Level of all Melee Skills,"CorruptionGlobalMeleeSkillGemsLevel1, of Combat, of Dueling","dex, dex_int, int, str, str_dex, str_int","corrupted_enchantment, explicit",True,False,True,False,True,0,7,STONEFIST-0015|STONEFIST-0020|STONEFIST-0028|STONEFIST-0034|STONEFIST-0048|STONEFIST-0070|STONEFIST-0072,likely_mapping
#% increased Quantity of Gold Dropped by Slain Enemies,CorruptionGoldFoundIncrease1,"dex, dex_int, int, str, str_dex, str_int",corrupted_enchantment,False,True,False,False,False,0,0,,corruption_only_missing
Damage Penetrates #% Lightning Resistance,CorruptionLightningPenetration1,"dex, dex_int, int, str, str_dex, str_int",corrupted_enchantment,False,False,False,False,False,0,0,,corruption_only_missing
#% increased Evasion Rating,"CorruptionLocalIncreasedEvasionRatingPercent1, Ghost's, Mirage's, Nightmare's, Phantasm's, Shade's, Spectre's, Wraith's",dex,"corrupted_enchantment, explicit",True,False,True,False,True,0,2,STONEFIST-0005|STONEFIST-0038,likely_mapping
+# to Maximum Frenzy Charges,CorruptionMaximumFrenzyCharges1,"dex, dex_int, int, str, str_dex, str_int",corrupted_enchantment,False,False,False,False,False,0,0,,corruption_only_missing
#% reduced Attribute Requirements,"CorruptionReducedLocalAttributeRequirements1, of the Apt, of the Proficient, of the Skilled, of the Talented, of the Worthy","dex, dex_int, int, str, str_dex, str_int","corrupted_enchantment, explicit",True,False,True,False,True,0,3,STONEFIST-0029|STONEFIST-0043|STONEFIST-0078,likely_mapping
#% chance to Daze on Hit,of Amanamu,"dex, dex_int, int, str, str_dex, str_int",explicit,False,False,False,False,False,0,0,,missing_input_sample
#% increased Area of Effect of Curses,of Amanamu,"dex, dex_int, str_dex",explicit,False,False,False,False,False,0,0,,missing_input_sample
#% increased Immobilisation buildup,of Amanamu,"dex, dex_int, str_dex",explicit,False,False,False,False,False,0,0,,missing_input_sample
+# to Strength and Intelligence,of Amanamu,"dex, dex_int, int, str, str_dex, str_int",explicit,False,False,False,False,False,0,0,,missing_input_sample
+#% to Fire and Chaos Resistances,of Amanamu,"dex, dex_int, int, str, str_dex, str_int",explicit,False,False,False,False,False,0,0,,missing_input_sample
#% increased Mana Cost Efficiency,of Kurgal,"dex, dex_int, int, str, str_dex, str_int",explicit,False,False,False,False,False,0,0,,missing_input_sample
+# to Dexterity and Intelligence,of Kurgal,"dex, dex_int, int, str, str_dex, str_int",explicit,False,False,False,False,False,0,0,,missing_input_sample
+#% to Cold and Chaos Resistances,of Kurgal,"dex, dex_int, int, str, str_dex, str_int",explicit,False,False,False,False,False,0,0,,missing_input_sample
#% increased Magnitude of Ailments you inflict,of Ulaman,"dex, dex_int, int, str, str_dex, str_int",explicit,False,False,False,False,False,0,0,,missing_input_sample
#% increased chance to Poison,of Ulaman,"dex, dex_int, int, str, str_dex, str_int",explicit,False,False,False,False,False,0,0,,missing_input_sample
#% increased chance to inflict Bleeding,of Ulaman,"dex, dex_int, int, str, str_dex, str_int",explicit,False,False,False,False,False,0,0,,missing_input_sample
+# to Strength and Dexterity,of Ulaman,"dex, dex_int, int, str, str_dex, str_int",explicit,False,False,False,False,False,0,0,,missing_input_sample
+#% to Lightning and Chaos Resistances,of Ulaman,"dex, dex_int, int, str, str_dex, str_int",explicit,False,False,False,False,False,0,0,,missing_input_sample
+# to Evasion Rating,"Acrobat's, Agile, Blurred, Dancer's, Fleet, Phased, Vaporous",dex,explicit,True,False,True,False,True,0,4,STONEFIST-0025|STONEFIST-0039|STONEFIST-0048|STONEFIST-0071,likely_mapping
+# to Accuracy Rating,"Amazon's, Consistent, Deliberate, Focused, Hunter's, Precise, Ranger's, Reliable, Steady","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,False,True,0,7,STONEFIST-0001|STONEFIST-0002|STONEFIST-0012|STONEFIST-0017|STONEFIST-0033|STONEFIST-0042|STONEFIST-0044,likely_mapping
Adds # to # Physical Damage to Attacks,"Annealed, Burnished, Flaring, Gleaming, Glinting, Honed, Polished, Razor-sharp, Tempered","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,True,False,2,15,STONEFIST-0010|STONEFIST-0013|STONEFIST-0021|STONEFIST-0029|STONEFIST-0031|STONEFIST-0032|STONEFIST-0039|STONEFIST-0041|STONEFIST-0043|STONEFIST-0044|STONEFIST-0048|STONEFIST-0049|STONEFIST-0066|STONEFIST-0067|STONEFIST-0074|STONEFIST-0075|STONEFIST-0077,confirmed_mapping
+# to maximum Mana,"Aqua, Azure, Beryl, Cerulean, Chalybeous, Cobalt, Gentian, Opalescent, Teal","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,False,True,0,16,STONEFIST-0009|STONEFIST-0012|STONEFIST-0018|STONEFIST-0024|STONEFIST-0027|STONEFIST-0036|STONEFIST-0037|STONEFIST-0038|STONEFIST-0042|STONEFIST-0046|STONEFIST-0047|STONEFIST-0048|STONEFIST-0051|STONEFIST-0068|STONEFIST-0069|STONEFIST-0075,likely_mapping
Adds # to # Lightning damage to Attacks,"Arcing, Buzzing, Crackling, Discharging, Electrocuting, Humming, Shocking, Snapping, Sparking","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,True,False,1,7,STONEFIST-0003|STONEFIST-0024|STONEFIST-0039|STONEFIST-0045|STONEFIST-0046|STONEFIST-0066|STONEFIST-0074|STONEFIST-0077,confirmed_mapping
+# to maximum Life,"Athlete's, Hale, Healthy, Robust, Rotund, Sanguine, Stalwart, Stout, Virile","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,False,True,0,19,STONEFIST-0008|STONEFIST-0011|STONEFIST-0019|STONEFIST-0021|STONEFIST-0024|STONEFIST-0027|STONEFIST-0031|STONEFIST-0036|STONEFIST-0040|STONEFIST-0043|STONEFIST-0050|STONEFIST-0066|STONEFIST-0067|STONEFIST-0068|STONEFIST-0069|STONEFIST-0070|STONEFIST-0071|STONEFIST-0073|STONEFIST-0075,likely_mapping
Adds # to # Fire damage to Attacks,"Blasting, Burning, Cremating, Flaming, Heated, Incinerating, Scorching, Smoking, Smouldering","dex, dex_int, int, str, str_dex, str_int",explicit,True,False,True,False,True,0,4,STONEFIST-0002|STONEFIST-0005|STONEFIST-0019|STONEFIST-0074,likely_mapping
