test_id,category,side,line_number,mod_line
STONEFIST-0001,rare,before,1,+18% to Lightning Resistance (rune)
STONEFIST-0001,rare,before,2,"{ Prefix Modifier ""Hunter's"" (Tier: 3) — Attack }"
STONEFIST-0001,rare,before,3,+336(237-346) to Accuracy Rating
STONEFIST-0001,rare,before,4,"{ Prefix Modifier ""Cherub's"" (Tier: 1) — Evasion, Energy Shield }"
STONEFIST-0001,rare,before,5,+66(65-78) to Evasion Rating
STONEFIST-0001,rare,before,6,+25(22-25) to maximum Energy Shield
STONEFIST-0001,rare,before,7,"{ Prefix Modifier ""Bard's"" (Tier: 3) — Life, Evasion, Energy Shield }"
STONEFIST-0001,rare,before,8,27(27-32)% increased Evasion and Energy Shield
STONEFIST-0001,rare,before,9,+27(26-32) to maximum Life
STONEFIST-0001,rare,before,10,"{ Suffix Modifier ""of the Maelstrom"" (Tier: 3) — Elemental, Lightning, Resistance }"
STONEFIST-0001,rare,before,11,+33(31-35)% to Lightning Resistance
STONEFIST-0001,rare,before,12,"{ Suffix Modifier ""of Mastery"" (Tier: 2) — Attack, Speed }"
STONEFIST-0001,rare,before,13,13(11-13)% increased Attack Speed
STONEFIST-0001,rare,before,14,"{ Suffix Modifier ""of the Lamprey"" (Tier: 2) — Life, Physical, Attack }"
STONEFIST-0001,rare,before,15,Leech 8.47(8-8.9)% of Physical Attack Damage as Life
STONEFIST-0001,rare,after,1,+18% to Lightning Resistance (rune)
STONEFIST-0001,rare,after,2,{ Implicit Modifier }
STONEFIST-0001,rare,after,3,Has +3 to Evasion Rating per player level
STONEFIST-0001,rare,after,4,Has +1 to maximum Energy Shield per player level
STONEFIST-0001,rare,after,5,"{ Prefix Modifier ""Hunter's"" — Attack }"
STONEFIST-0001,rare,after,6,30(30-32)% chance to Blind Enemies on Hit with Attacks
STONEFIST-0001,rare,after,7,"{ Prefix Modifier ""Cherub's"" }"
STONEFIST-0001,rare,after,8,Has +4 to Evasion Rating per player level
STONEFIST-0001,rare,after,9,Has +1 to maximum Energy Shield per player level
STONEFIST-0001,rare,after,10,"{ Prefix Modifier ""Bard's"" }"
STONEFIST-0001,rare,after,11,"6% of Damage Taken Recouped as Life, Mana and Energy Shield"
STONEFIST-0001,rare,after,12,"{ Suffix Modifier ""of the Maelstrom"" — Elemental, Lightning, Resistance }"
STONEFIST-0001,rare,after,13,+2% to Maximum Lightning Resistance
STONEFIST-0001,rare,after,14,+31(31-35)% to Lightning Resistance
STONEFIST-0001,rare,after,15,"{ Suffix Modifier ""of Mastery"" }"
STONEFIST-0001,rare,after,16,20(20-24)% chance to gain Onslaught for 4 seconds on Hit
STONEFIST-0001,rare,after,17,"{ Suffix Modifier ""of the Lamprey"" — Life }"
STONEFIST-0001,rare,after,18,Leech 13.34(12-13.9)% of Physical Attack Damage as Life
STONEFIST-0001,rare,after,19,Leech Life 25(25-20)% slower
STONEFIST-0001,rare,after,20,Unmodifiable
STONEFIST-0002,rare,before,1,"{ Prefix Modifier ""Urchin's"" (Tier: 4) — Life, Armour }"
STONEFIST-0002,rare,before,2,21(21-26)% increased Armour
STONEFIST-0002,rare,before,3,+20(20-25) to maximum Life
STONEFIST-0002,rare,before,4,"{ Prefix Modifier ""Blasting"" (Tier: 2) — Damage, Elemental, Fire, Attack }"
STONEFIST-0002,rare,before,5,"{ Prefix Modifier ""Consistent"" (Tier: 5) — Attack }"
STONEFIST-0002,rare,before,6,+151(124-167) to Accuracy Rating
STONEFIST-0002,rare,before,7,"{ Suffix Modifier ""of Covering"" (Tier: 5) — Armour, Elemental }"
STONEFIST-0002,rare,before,8,+18(14-19)% of Armour also applies to Elemental Damage
STONEFIST-0002,rare,before,9,"{ Suffix Modifier ""of Renown"" (Tier: 1) — Attack, Speed }"
STONEFIST-0002,rare,before,10,15(14-16)% increased Attack Speed
STONEFIST-0002,rare,after,1,{ Implicit Modifier }
STONEFIST-0002,rare,after,2,Has +3 to Evasion Rating per player level
STONEFIST-0002,rare,after,3,Has +1 to maximum Energy Shield per player level
STONEFIST-0002,rare,after,4,"{ Prefix Modifier ""Urchin's"" }"
STONEFIST-0002,rare,after,5,"5% of Damage Taken Recouped as Life, Mana and Energy Shield"
STONEFIST-0002,rare,after,6,"{ Prefix Modifier ""Blasting"" — Elemental, Fire, Attack }"
STONEFIST-0002,rare,after,7,"{ Prefix Modifier ""Consistent"" — Attack }"
STONEFIST-0002,rare,after,8,24(24-26)% chance to Blind Enemies on Hit with Attacks
STONEFIST-0002,rare,after,9,"{ Suffix Modifier ""of Covering"" — Elemental, Fire, Cold, Lightning, Resistance }"
STONEFIST-0002,rare,after,10,+11(10-12)% to all Elemental Resistances
STONEFIST-0002,rare,after,11,"{ Suffix Modifier ""of Renown"" }"
STONEFIST-0002,rare,after,12,30(26-30)% chance to gain Onslaught for 4 seconds on Hit
STONEFIST-0002,rare,after,13,Unmodifiable
STONEFIST-0003,magic,before,1,"{ Prefix Modifier ""Shocking"" (Tier: 3) — Damage, Elemental, Lightning, Attack }"
STONEFIST-0003,magic,after,1,{ Implicit Modifier }
STONEFIST-0003,magic,after,2,Has +3 to Evasion Rating per player level
STONEFIST-0003,magic,after,3,Has +1 to maximum Energy Shield per player level
STONEFIST-0003,magic,after,4,"{ Prefix Modifier ""Shocking"" — Elemental, Lightning, Attack }"
STONEFIST-0003,magic,after,5,Unmodifiable
STONEFIST-0004,magic,before,1,"{ Suffix Modifier ""of the Squall"" (Tier: 7) — Elemental, Lightning, Resistance }"
STONEFIST-0004,magic,before,2,+15(11-15)% to Lightning Resistance
STONEFIST-0004,magic,after,1,{ Implicit Modifier }
STONEFIST-0004,magic,after,2,Has +3 to Evasion Rating per player level
STONEFIST-0004,magic,after,3,Has +1 to maximum Energy Shield per player level
STONEFIST-0004,magic,after,4,"{ Suffix Modifier ""of the Squall"" — Elemental, Lightning, Resistance }"
STONEFIST-0004,magic,after,5,+1% to Maximum Lightning Resistance
STONEFIST-0004,magic,after,6,+19(16-20)% to Lightning Resistance
STONEFIST-0004,magic,after,7,Unmodifiable
STONEFIST-0005,rare,before,1,+18% to Cold Resistance (rune)
STONEFIST-0005,rare,before,2,"{ Prefix Modifier ""Nightmare's"" (Tier: 2) — Evasion }"
STONEFIST-0005,rare,before,3,80(80-91)% increased Evasion Rating
STONEFIST-0005,rare,before,4,"{ Prefix Modifier ""Incinerating"" (Tier: 3) — Damage, Elemental, Fire, Attack }"
STONEFIST-0005,rare,before,5,"{ Prefix Modifier ""Frozen"" (Tier: 4) — Damage, Elemental, Cold, Attack }"
STONEFIST-0005,rare,before,6,"{ Suffix Modifier ""of the Desperate"" (Tier: 1) — Mana, Physical, Attack }"
STONEFIST-0005,rare,before,7,Leech 8.47(8-8.9)% of Physical Attack Damage as Mana
STONEFIST-0005,rare,before,8,"{ Suffix Modifier ""of Nourishment"" (Tier: 1) — Life, Attack }"
STONEFIST-0005,rare,before,9,"{ Suffix Modifier ""of the Lamprey"" (Tier: 2) — Life, Physical, Attack }"
STONEFIST-0005,rare,before,10,Leech 8.26(8-8.9)% of Physical Attack Damage as Life
STONEFIST-0005,rare,after,1,+18% to Cold Resistance (rune)
STONEFIST-0005,rare,after,2,{ Implicit Modifier }
STONEFIST-0005,rare,after,3,Has +3 to Evasion Rating per player level
STONEFIST-0005,rare,after,4,Has +1 to maximum Energy Shield per player level
STONEFIST-0005,rare,after,5,"{ Prefix Modifier ""Nightmare's"" — Evasion, Energy Shield }"
STONEFIST-0005,rare,after,6,17(17-18)% more Global Evasion Rating and Energy Shield
STONEFIST-0005,rare,after,7,"{ Prefix Modifier ""Incinerating"" — Elemental, Fire, Attack }"
STONEFIST-0005,rare,after,8,"{ Prefix Modifier ""Frozen"" — Elemental, Cold, Attack }"
STONEFIST-0005,rare,after,9,"{ Suffix Modifier ""of the Desperate"" — Mana }"
STONEFIST-0005,rare,after,10,Leech 12.26(12-13)% of Physical Attack Damage as Mana
STONEFIST-0005,rare,after,11,Leech Mana 22(25-20)% slower
STONEFIST-0005,rare,after,12,"{ Suffix Modifier ""of Nourishment"" — Life }"
STONEFIST-0005,rare,after,13,"{ Suffix Modifier ""of the Lamprey"" — Life }"
STONEFIST-0005,rare,after,14,Leech 13.17(12-13.9)% of Physical Attack Damage as Life
STONEFIST-0005,rare,after,15,Leech Life 21(25-20)% slower
STONEFIST-0005,rare,after,16,Unmodifiable
STONEFIST-0006,normal,after,1,{ Implicit Modifier }
STONEFIST-0006,normal,after,2,Has +3 to Evasion Rating per player level
STONEFIST-0006,normal,after,3,Has +1 to maximum Energy Shield per player level
STONEFIST-0006,normal,after,4,Unmodifiable
STONEFIST-0007,magic,before,1,"{ Suffix Modifier ""of the Lost"" (Tier: 6) — Chaos, Resistance }"
STONEFIST-0007,magic,before,2,+7(4-7)% to Chaos Resistance
STONEFIST-0007,magic,after,1,{ Implicit Modifier }
STONEFIST-0007,magic,after,2,Has +3 to Evasion Rating per player level
STONEFIST-0007,magic,after,3,Has +1 to maximum Energy Shield per player level
STONEFIST-0007,magic,after,4,"{ Suffix Modifier ""of the Lost"" — Chaos, Resistance }"
STONEFIST-0007,magic,after,5,+1% to Maximum Chaos Resistance
STONEFIST-0007,magic,after,6,+7(6-9)% to Chaos Resistance
STONEFIST-0007,magic,after,7,Unmodifiable
STONEFIST-0008,magic,before,1,"{ Prefix Modifier ""Healthy"" (Tier: 8) — Life }"
STONEFIST-0008,magic,before,2,+25(20-29) to maximum Life
STONEFIST-0008,magic,before,3,"{ Suffix Modifier ""of Valour"" (Tier: 3) — Life }"
STONEFIST-0008,magic,after,1,{ Implicit Modifier }
STONEFIST-0008,magic,after,2,Has +3 to Evasion Rating per player level
STONEFIST-0008,magic,after,3,Has +1 to maximum Energy Shield per player level
STONEFIST-0008,magic,after,4,"{ Prefix Modifier ""Healthy"" }"
STONEFIST-0008,magic,after,5,6% less damage taken while on Low Life
STONEFIST-0008,magic,after,6,"{ Suffix Modifier ""of Valour"" — Life }"
STONEFIST-0008,magic,after,7,Unmodifiable
