source_url,glove_class,pool_type,modifier_kind,modifier_name,tier,min_item_level,tags,stat_text,stat_template
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,corrupted_enchantment,corrupted,CorruptionArmourBreak1,1,1,,Break (10-15)% increased Armour,Break #% increased Armour
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,corrupted_enchantment,corrupted,CorruptionColdPenetration1,1,1,"cold, damage, elemental",Damage Penetrates (10-15)% Cold Resistance,Damage Penetrates #% Cold Resistance
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,corrupted_enchantment,corrupted,CorruptionFirePenetration1,1,1,"damage, elemental, fire",Damage Penetrates (10-15)% Fire Resistance,Damage Penetrates #% Fire Resistance
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,corrupted_enchantment,corrupted,CorruptionGlobalMeleeSkillGemsLevel1,1,1,attack,+1 to Level of all Melee Skills,+# to Level of all Melee Skills
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,corrupted_enchantment,corrupted,CorruptionGoldFoundIncrease1,1,1,,(5-10)% increased Quantity of Gold Dropped by Slain Enemies,#% increased Quantity of Gold Dropped by Slain Enemies
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,corrupted_enchantment,corrupted,CorruptionLightningPenetration1,1,1,"damage, elemental, lightning",Damage Penetrates (10-15)% Lightning Resistance,Damage Penetrates #% Lightning Resistance
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,corrupted_enchantment,corrupted,CorruptionLocalIncreasedEvasionRatingPercent1,1,1,evasion,(15-25)% increased Evasion Rating,#% increased Evasion Rating
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,corrupted_enchantment,corrupted,CorruptionMaximumFrenzyCharges1,1,1,,+1 to Maximum Frenzy Charges,+# to Maximum Frenzy Charges
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,corrupted_enchantment,corrupted,CorruptionReducedLocalAttributeRequirements1,1,1,,(10-20)% reduced Attribute Requirements,#% reduced Attribute Requirements
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,desecrated suffix,of Amanamu,1,65,amanamu_mod,(10-20)% chance to Daze on Hit,#% chance to Daze on Hit
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,desecrated suffix,of Amanamu,1,65,"amanamu_mod, caster, curse",(12-20)% increased Area of Effect of Curses,#% increased Area of Effect of Curses
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,desecrated suffix,of Amanamu,1,65,amanamu_mod,(10-20)% increased Immobilisation buildup,#% increased Immobilisation buildup
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,desecrated suffix,of Amanamu,1,65,"amanamu_mod, attribute",+(9-15) to Strength and Intelligence,+# to Strength and Intelligence
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,desecrated suffix,of Amanamu,1,65,"amanamu_mod, chaos, elemental, fire, resistance",+(13-17)% to Fire and Chaos Resistances,+#% to Fire and Chaos Resistances
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,desecrated suffix,of Kurgal,1,65,"kurgal_mod, mana",(6-10)% increased Mana Cost Efficiency,#% increased Mana Cost Efficiency
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,desecrated suffix,of Kurgal,1,65,"attribute, kurgal_mod",+(9-15) to Dexterity and Intelligence,+# to Dexterity and Intelligence
https://poe2db.tw/us/Gloves_dex#ModifiersCalc,dex,explicit,desecrated suffix,of Kurgal,1,65,"chaos, cold, elemental, kurgal_mod, resistance",+(13-17)% to Cold and Chaos Resistances,+#% to Cold and Chaos Resistances
